vend.vend-no	vend.name	vend.terms	vend.disc-%	vend.add1	vend.add2	vend.city	vend.state	vend.Postal	vend.phone	vend.contact	vend.fax	vend.actnum	vend.tax-id	vend.code-1099
927	Arc of Onondaga	1	.00	600 So. Wilbur Avenue		Syracuse	NY	13204	(315)476-7441		(315)424-6001	32214		0
929	Graphic Packaging Intern	N10	1.00	PO Box 404170		Atlanta	GA	30384	(269) 963-4004	Rich/Joy	(269) 963-0723	10301		0
930	L. W. Morse & Son	N15	.00		40 Division St.	Norwich	NY	13815				0		0
931	Maxwells	1	.00	14 Utica Street		Hamilton	NY	13346	(315)824-1280	Scott Powell		45173		0
932	Marie Morgan	1	.00		RD #2  Box 6047B	Earlville	NY	13332	(315)837-4441	Marie		32214		0
950	Mullen Ind. Handling	N30	.00		Box 246 6245 Fly Road	Syracuse	NY	13057				35120		0
963	"MVP Health Care, Inc."	1	.00	GPO Box 26864		New York	NY	10087-6864	(518)370-4793			39154		0
969	NBT Bank	1	.00	P.O. Box 351		Norwich	NY	13815				18703		0
972	NFIB	1	.00	1201 F Street N.W.	Suite 200	Washington	DC	20004				41151		0
976	THE NATIONAL INFORMATION	1	.00	DATA CENTER	P.O. BOX 96524	WASHINGTON	DC	20090	(301)816-8950			41164		0
977	Network Services/AT&T	1	.00		P.O. Box 641212	Detroit	MI	48264-1212	(800)521-4978			41163		0
980	Pitman Company	N10	3.00	Attn: Michelle Griswold	721 Union Blvd.	Totowa	NJ	07512	800-526-5441	Lou/Bob Day	518-283-0336	0		0
982	NYS Unemployment Ins	1	.00	P.O. Box 1589		Albany	NY	12201				0		0
983	NYS Corporation Tax	1	.00	Processing Unit	P.O. Box 22094	Albany	NY	12201				17307		0
986	Commissioner of Taxation	1	.00			Albany	NY	12201				36316		0
987	New England Motor	1	.00	1-71 North Avenue East		Elizabeth	NJ	07207	(908)965-0100		(908)289-1833	32223		0
988	NY SHESC	1	.00	PO Box 1290		Newark	NJ	07101				17107		0
989	Nelson & Flanagan	0	.00	Attorneys At Law	42 South Broad Street	Norwich	NY	13815	(607)334-9323		(607)336-2017	0		0
990	NMHG Financial Services	1	.00	PO Box 643749		Pittsburgh	PA	15264				18766		0
994	New York Central Mutual	0	.00	1899 Central Plaza East		Edmeston	NY	13335	(800) 355-5220			33115		0
1025	New PiG Corp	N30	.00		One Pork Avenue	Tipton	PA	16684				0		0
1027	NYS Sales Tax Processing	1	.00	PO Box 15168		Albany	NY	12212-5168				41408		0
1032	New Penn Motor Express	1	.00	24801 Network Place		Chicago	IL	60673-1248	(717)274-2521			32223		0
1037	Northeast Classic Car Mu	1	.00	24 Rexford Street		Norwich	NY	13815	334-2886			41153		0
1038	North East Graphic Machi	1	.00	10 Wilson Drive		Valhalla	NY	10595	914-837-4156	Eugene	914-289-1572	35328		0
1039	"Northern Safety Co., Inc"	1	.00	P.O. Box 4250		Utica	NY	13504	(800)631-1246		(800)635-1591	34136		0
1040	Northwestern Mutual	1	.00	RE:5145	P.O. Box 8500	Philadelphia	PA	19178-5145	(414)271-1444			39152		0
1045	Norwich Glass Company	N10	.00		RD#3 Box 125C	Norwich	NY	13815				0		0
1056	Norwich Family YMCA	1	.00	68 - 70 North Broad Street		Norwich	NY	13815				41153		0
1059	Jamestown Container	10	2.00	PO Box 8		Jamestown	NY	14702	(800)756-7275	Chris/Kathy	(315)829-2530	10301		0
1060	"Tenney Media Group, Inc."	1	.00	28 Robinson Road Box 203		Clinton	NY	13323	(800)548-1238			0		0
1063	OP-TECH Environmental	N30	.00	PO Box 200385		Pittsburgh	PA	15251	315-437-2065	Jay Morenus	(315)463-9764	34137		0
1065	Norwich Pennysaver	1	.00		P.O. Box 111	Norwich	NY	13815				45173		0
1090	OMP Park	1	.00	% Tenney Media Group	PO Box 203	Clinton	NY	13323				33111		0
1106	P.A.K. Construction	1	.00	507 North Pond Road		Guilford	NY	13780	895-6617			11616		0
1126	PCA	N10	1.00	PO Box 584	4471 Steelway Blvd.-South	Liverpool	NY	13088	315-457-6780	Cindy/Tom	315-457-0630	10301		0
1135	People's Capital	1	.00	255 Bank Street	4th Floor	Waterbury	CT	06702-2213				18773		0
1140	Pharsalia Forest Prod.	N10	.00		2482 State Highway 23	South Plymouth	NY	13844	(607)334-6634	Dennis	(607) 334-7637	10301		0
1157	Perkins Thompson	1	.00	Attorneys & Counselors at Law	One Canal Plaza	Portland	ME	04112	207-774-2635			41154		0
1160	Pitney Bowes	1	.00	P.O. Box 856390		Louisville	KY	40285				41162		0
1161	Pitman Co.	N30	.00	File #99476	P.O. Box 9143	Boston	MA	02205	(800)225-9730			0		0
1175	"Pires Flower Basket, Inc"	1	.00		Route 12 North	Norwich	NY	13815				0		0
1183	Professional Tire & Serv	1	.00	6655 County Road 32		Norwich	NY	13815	607-336-9120		607-336-9119	36318		0
1185	Clearwater Paper Corpora	N20	1.00	14430 Collections Center Drive		Chicago	IL	60693				10301		0
1187	POSTMASTER	1	.00	Sherburne	4 West State Street	Sherburne	NY	13460				41162		0
1190	Moores Tire Sales	N10	.00		P.O. Box 271	Sherburne	NY	13460	(607)674-4472			36318		0
1195	"P.J. Green, Inc."	N30	.00		P.O. Box 4026	Utica	NY	13504	(315)724-7677	Michelle	(315)724-6344	32214		0
1210	Printers Service	N30	.00	P O Box 5080		Newark	NJ	07105-5080	(781)749-4590		(781)740-2866	35313		0
1215	Private Label	1	.00	"630 Third Avenue, 4th Floor"		New York	NY	10017	(212)972-3131		(212)983-1382	0		0
1216	Professional Teleconcept	1	.00	PO Box 847673		Dallas	TX	75284-7673	336-1689	Jason James		34126		0
1225	Frederick Ranc	1	.00	26 Forest Ave.		Oneonta	NY	13820				0		0
1228	QPK Design	N10	.00	450 South Salina Street		Syracuse	NY	13201-0029	315-472-7806	Steve Krause	315-472-7800	41154		0
1232	"R & L Carriers, Inc."	1	.00	PO Box 713153		Columbus	OH	432713153	9373821494			32223		0
1233	Pioneer	N20	.00	Randustrial	4529 Industrial Parkway	Cleveland	OH	44135	(800)877-1500	Jim	(800)755-7263	34130		0
1234	Randustrial	N15	.00	A Pioneer Company	4529 Industrial Parkway	Cleveland	OH	44135	(800)877-1500		(800)877-1511	34130		0
1237	USF Holland	1	.00	27052 Network Place		Chicago	IL	60673				32223		0
1238	Pengate Handling Systems	N30	.00	PO Box 643031		Pittsburgh	PA	15264	(315)437-7101	Ron P.		34136		0
1241	"Rapp Signs, Inc."	0	.00	3979 NY Route 206		Greene	NY	13778	(607)656-8167	Patrick Doyle	(607)656-8677	11616		0
1250	Navitor	N10	.00	725 Clayton Avenue		Waynesboro	PA	17268	(800)257-5055		(800)667-1031	32214		0
1264	Rhinevault Surveyors	1	.00	Attn: Clark Bridge	35 Cortland St.	Norwich	NY	13815	334-2631	Clark Bridge	334-5263	41154		0
1268	RICKARD Circular Folding	N30	.00		325 N Ashland Avenue	Chicago	IL	60607	(312)243-6300	Joyce Kaminski	(312)243-6323	32214		0
1270	Roadway Express	1	.00		P.O. Box 905587	Charlotte	NC	28290-5587				0		0
1271	James Robinson	1	.00		RR2	Norwich	NY	13815	(607)674-4893			39513		0
1279	RDG/Bar Code America	1	.00	PO Box 506		Madison	NJ	07940-0506	973-377-8182	Robert	973-227-0988	11603		0
1280	The Riverside Group	N30	.00		655 Driving Park Ave.	Rochester	NY	14613-1566	(585)458-2090	Tracy Trieste	(585)458-2123	0		0
1285	RJG Enterprises Ltd.	N30	.00	888 East Belvidere Rd.	Unit 222	Grayslake	IL	60030	(847)752-2065		(847)752-2070	35330		0
1294	Rolling Antiquers Old Ca	1	.00	c/o Ronald J. Dibble	1873 County Highway 18	South New Berlin	NY	13843				41153		0
1320	R & R Electrical	N30	.00	Services	6034 County Rd. 32	Norwich	NY	13815	336-2033			0		0
1322	TRESU Royse Inc.	N30	.00	P.O. Box 612052		Dallas	TX	75261-2052	(800)942-5471		(214)631-3521	11603		0
1327	CITICORP	1	.00		P.O. Box 7247-7878	Philadelphia	PA	19170-7878	(800)227-6766			18734		0
1342	SA-SO	N30	.00	PO Box 451269		Sunrise	FL	33345	800-527-2450			0		0
1346	Sellco	N30	.00	PO Box 70	58 Grant Street	Cortland	NY	13045		George DeLorenzo		32214		0
1348	W.R. Sharples Company	N30	.00	211 John Dietsch Square		North Attleboro	MA	02763	508-695-5656	Julie	508-695-8804	32214		0
1350	Unisource Worldwide Inc.	N30	2.00	7472 Collections Center Drive		Chicago	IL	60693	(800)462-5986	Steve/Pam	(800)488-8526	10301		0
1351	Syracuse Stage	1	.00	820 East Genesee St.		Syracuse	NY	13210				41153		0
1361	Sherburne Big M	1	.00	PO Box 554	4 South Main St.	Sherburne	NY	13460	(607)674-4180			34135		0
1363	Sherburne-Earlville CSD	1	.00	"NBT, Sherburne Branch"	PO Box 712	Sherburne	NY	13460				33113		0
1366	Sherburne Music Theater	1	.00	Society	PO Box 665	Sherburne	NY	13460				41153		0
1371	Sherburne Rotary	1	.00		P.O. Box 541	Sherburne	NY	13460				41153		0
1372	Sherburne Youth Football	1	.00	ATTN: Karen E. Losee	P.O. Box 35	Sherburne	NY	13460				41153		0
1375	Sherburne News	N10	.00	17 East State Street		Sherburne	NY	13460	(607) 674-6071	Jim McDaniels	(607) 674-5065	32214		0
1377	Staples Business	N30	.00	Dept. ROC	PO Box 415256	Boston	MA	02241-5256		Kim		41164		0
1381	Soneko IR	N10	.00	717 Garibaldi Ave.		Roseto	PA	18013	732-271-1710	Charlie Barisonek	732-271-3398	35325		0
1383	Smith Ford Norwich LLC	1	.00	PO Box 849	175-185 East Main Street	Norwich	NY	13815	(607)334-3273			36318		0
1385	State Farm Insurance	1	.00	Insurance Support Center	PO Box 588002	North Metro	GA	30029-8002	(315)797-1100			33116		0
1387	"SPEC, Inc."	N30	.00	PO Box 746	7558 Townsend Drive	Denver	NC	28037	704-483-1142			31192		0
1388	Syracuse University	1	.00	Carrier Dome Box Off.	P.O. Box 4981	Syracuse	NY	13221				45177		0
1390	Sun Life Financial	1	.00	PO Box 7247-0373		Philadelphia	PA	19170-0373				17103		0
1392	Stanley Convergent Secur	1	.00	Dept. Ch 10651		Palatine	IL	60055				35221		0
1396	"Sofco, Inc"	N10	1.00		P.O. Box 2023	Scotia	NY	12302				0		0
1400	Mang Insurance Agency	1	.00	66 South Broad Street	Suite 2	Norwich	NY	13815	334-4444	Rick Mirabito		0		0
1402	Shako Inc.	N30	.00		P.O. Box 350011	Boston	MA	02241-0511	(315)437-1294	Bob	(315)437-0351	35332		0
1405	Superior Press Parts	N30	.00	240 N. Chruch Rd.		Franklin	NJ	07416	(800)332-4492		(973)983-8425	0		0
1409	Stroh Painting	1	.00	120 West Shore Road		Norwich	NY	13815	334-6530	Mike	334-6530	11616		0
1410	Superior Printing Ink Co	N30	.00	100 North Street		Teterboro	NJ	07608	800-221-9680	Chris/Jim	(716)685-6767	31192		0
1413	Teal's Express Inc	1	.00		P.O. Box 6010	Watertown	NY	13601				0		0
1414	Technical Translation	N30	.00	"Services, LTD."	P.O. Box 68	Willoughby	OH	44096	(440)942-3130		(110)951-6197	32214		0
1415	"Tenney Properties, LLC"	1	.00	PO Box 453		Sherburne	NY	13460		Bob Tenney		33111		0
1417	Xerox Corporation	N10	.00	PO Box 827598		Philadelphia	PA	19182-7598				35323		0
1418	Terry Signs Traditional	N15	.00	or Vinyl Graphics	RD#1 Box 150	Hamilton	NY	13346	(315)824-3144			0		0
1419	SHERBURNE PETTY CASH	1	.00									0		0
1422	Robert W. Tenney	1	.00	PO Box 453		Sherburne	NY	13460				0		0
1423	Rosemarie Tenney	1	.00	Route 12		Sherburne	NY	13460				34135		0
1426	Taylor's Country House	1	.00		Route 320	Norwich	NY	13815				34135		0
1428	Town of Sherburne Tax Co	1	.00	"NBT, Sherburne Bank"	PO Box 712	Sherburne	NY	13460				33113		0
1429	Time Clock Plus	N20	.00	3322 Loop 306		San Angelo	TX	76904	325-223-9500	Chad Hirt		0		0
1432	John W. Tenney	1	.00	1802 North Alafaya Trail		Orlando	FL	32826				39515		1
1433	Tiger Direct	N15	.00	C/O SYX Services	PO Box 449001	Miami	FL	33144				41165		0
1434	Top Variety	1	.00	5-9 East State Street	P.O. Box 218	Sherburne	NY	13460	(607)674-4811			34136		0
1435	Tri-R-Ag Service	1	.00	PO Box 1001		Sherburne	NY	13460	226-0498	Peter Lawrence		34130		0
1440	Time Warner Cable	1	.00	Road Runner	PO Box 657	Buffalo	NY	14240-0657	(877)313-2337			41165		0
1441	Taylor Rental	N10	.00	6101 State Highway 12		Norwich	NY	13815	336-5683		334-5507	34134		0
1442	Stephen Trass	1	.00			Earlville	NY	13332				45179		0
1443	Taylor Ross Trust Fund	1	.00									41153		0
1444	Taylor & Mavady	1	.00	Attorneys at Law	5 North Main Street	Sherburne	NY	13460	(607)674-2101		(607)674-4744	41154		0
1445	Eastman Kodak Company	1	.00	1778 Solutions Center		Chicago	IL	60677-1007	(800)225-8414			35221		0
1446	"Thompson Brothers, Inc."	N30	.00	120 Ryan Lane	PO Box 214	Norwich	NY	13815				11616		0
1452	The Hartford	1	.00	PO Box 620		New Hartford	NY	13413				0		0
1453	"Staffworks, Inc."	1	.00	600 French Road		New Hartford	NY	13413	(315)735-5050		(315)735-1113	34126		0
1454	"Altivity Packaging, LLC"	N10	1.00	23563 Network Place		Chicago	IL	60673	(215)984-7000	Jim Halpin	(215)984-7181	10301		0
1456	Tenncom Business	1	.00	1802 N. Alafaya Trail		Orlando	FL	32826		John Tenney		35221		0
1457	technotrans america Inc.	1	.00	PO Box 5815		Carol Stream	IL	60197	847-227-9200		847-227-9400	0		0
1465	UPS Freight	1	.00	PO Box 730900		Dallas	TX	75373	800-333-7400			32223		0
1470	Braden Sutphin Ink Co.	N15	1.00	P.O. Box 72074		Cleveland	OH	44192-0002	877-274-2760		732-985-7452	31192		0
1473	Melinda Unger	1	.00									17107		0
1478	Utica National Life	1	.00	Insurance Company	P.O. Box 6576	Utica	NY	13503-6576	(800)933-1914		(315)734-2941	39157		0
1480	United Parcel Service	1	.00	PO Box 7247-0244		Philadelphia	PA	19170-0001				0		0
1481	ULINE	N30	.00	Attn: Accounts Receivable	2200 S. Lakeside Drive	Waukegan	IL	60085				41164		0
1482	Chenango United Way	1	.00		27 West Main St.	Norwich	NY	13815				17107		0
1493	Syracuse University	1	.00	820 Comstock Avenue		Syracuse	NY	13244	(315)443-2865			0		0
1495	U.S. Materials Handling	N30	.00	Corporation	P.O. Box 366	Utica	NY	13503				0		0
1499	Observer-Dispatch	1	.00	221 Oriskany Plaza		Utica	NY	13501				45173		0
1501	Utica Commercial Truck	1	.00	"Body Builders, Inc."	216 Second Street	Utica	NY	13501	(315)733-4430			36318		0
1514	Van Alstine & Sons	N30	.00	"Distributors, Inc."	6805 Newbrook Avenue	East Syracuse	NY	13057	(800)437-7018	Robert Buell	(315)437-7723	31193		0
1515	Diamond Machinery Co.	N30	.00	11993 Ravenna Road	Unit 4 A & B	Chardon	OH	44024	(440)286-8661	Ellen	(440)286-5774	35330		0
1517	Nordson Corporation	N30	.00	PO Box 802586		Chicago	IL	60680-2586	(800)241-8777	Tom Kane		35333		0
1520	The Village Printer	N30	.00	330 Pony Farm Road		Oneonta	NY	13820	432-5259	Mathia Cahill	432-0155	32214		0
1521	Verizon Wireless	1	.00		PO Box 489	Newark	NJ	07101-0489	(800)724-7862			41163		0
1540	Village of Sherburne	1	.00		Electric & Waste Water	Sherburne	NY	13460				37112		0
1547	Volkswagen of Oneonta	1	.00	"Box 304, R.D. #2"	Route 23	Oneonta	NY	13820	(800)351-8166		436-9309	45177		0
1560	Vijuk Bindery Equip.	N15	.00		715 Church Road	Elmhurst	IL	60126	(708)530-2203	Scott	(708)530-2245	0		0
1570	White House Cabinet Shop	1	.00	PO Box 877	11 Knapp Street	Sherburne	NY	13460				11616		0
1571	Whitehouse Printing & La	1	.00	3380 Route 22 West	Unit One	Branchburg	NJ	08876	908-526-2800		908-526-6626	0		0
1574	Wells Fargo	1	.00	NW-8187	PO Box 1450	Minneapolis	MN	55485	866-726-4714			18763		0
1576	Charley Winn	1	.00							Charley Winn		45173		0
1579	Weber Marking Systems In	N10	.00	PO BOX 88007		Chicago	IL	60680-1007	(847)364-8500	D. Ritchie		41164	362305066	0
1580	"Curtis Lumber Co., Inc."	N10	.00	48 Hale St.	Suite # 7	Norwich	NY	13815				0		0
1581	Wells Fargo Financial	0	.00	PO Box 6434		Carol Stream	IL	60197	866-497-0867			18765		0
1583	Webster's Paving	1	.00	11 Keith Street		Oneonta	NY	13820	432-8550	Royce	432-8884	11616		0
1586	Wikoff Color Corp.	N30	1.00	PO Box 890003		Charlotte	NC	28289-0003				31192		0
1587	Multifold Die Cutting	N30	.00	120-B Ricefield Lane	Suite B	Hauppauge	NY	11788	(631)232-1235	John	(631)232-1290	32214		0
1588	Wilton Reassurance Life	1	.00	PO Box 105383		Atlanta	GA	30348-5383	866-406-8213			39152		0
1592	Sid Westcott	1	.00	50 South Main Street		Sherburne	NY	13460	674-4124	Sid		34130		0
1593	Steel Sales Inc.	N10	.00	P.O. Box 539	Route 12	Sherburne	NY	13460				0		0
1595	West Hill Welding	1	.00	341 Lawrence-Hunsicker	Road	Sherburne	NY	13460	674-9288			0		0
1597	Wightman's Signs	1	.00	29 Plymouth St.		Norwich	NY	13815		Bob		0		0
1598	York Label	N30	.00	36877 Treasury Center		Chicago	IL	60694				35330		0
1599	"X-Rite,Inc"	1	.00		PO Box 633354	Cincinnati	OH	45263-3354	(616)257-2251		Or 2333	0		0
1600	Zee Medical Service	N25	.00	PO Box 781433		Indianapolis	IN	46278	(800)942-1805	Chuck		34133		0
1601	Vincent Yacono	1	.00	Plumbing & Heating	PO Box 407	Sherburne	NY	13460	(607)674-9631	Vince		0		0
1602	Yellow Trans. Inc.	1	.00	P.O. Box 13850		Newark	NJ	07188-0850	(800)610-6500			32223		0
1603	YES Electric	1	.00	PO Box 784		Sherburne	NY	13460	674-6446	Dan Lowe	674-5163	11616		0
1605	YRC (Yellow & Roadway)	1	.00	PO Box 13573		Newark	NJ	07188-3573	800-610-6500			32223		0
1607	Zurich American Ins. Co.	0	.00	8723 Innovation Way		Chicago	IL	60682-0087				38324		0
8022	Jane Lewis	1	.00	2520 Kinnikinnick	MeadowCreek M-5	Vail	CO	81657				39515		1
8023	Julia Tenney	1	.00	"88 Josephine Ave, #2"		Somerville	MA	02144				39515		1
8024	Claudia Tenney	1	.00	12 Slaytonbush Lane		Utica	NY	13501				39515		1
8025	Jane Eaton	1	.00		17 Newton Ave	Norwich	NY	13815				39515		1
8026	Cynthia R. Tenney	1	.00		15 Slaytonbush Lane	Utica	NY	13501				39515		1
8027	Mary Mahoney	1	.00		2077 Spring Street	Hamilton	NY	13346	(315)824-0844			39515		1
8029	Village of Sherburne	1	.00	PO Box 704		Sherburne	NY	13460				18716		0
8051	John Zieno	1	.00			Norwich	NY	13815				45176		0
8057	ZONES	N30	.00	PO Box 34740		Seattle	WA	98124	253-205-3710	Phyllis		41165		0
8078	Sherburne Area Little	1	.00	P.O. Box 1033		Sherburne	NY	13460		David Howard		41153		0
8079	Chenango County Blues	1	.00	Hillside House B-22		Norwich	NY	13815		Eric Larsen		41153		0
99999	Voided Check	35	1.00									0		0
