English,Espanol (Spanish),Français (French)
PO Inquiry,Consulta po,Demande de PO
PO Purchased Variance,Varianza comprada po,Variance achetée par PO
PO Receipts Not Vouchered,Recibos de po no vouchered,Reçus de bons de commande non envoyés
PO Rejection Codes,Códigos de rechazo po,Codes de rejet de PO
PO Vendor Analysis,Análisis de proveedores po,Analyse du fournisseur de PO
PO's  Vouchered by FG Category,Vouchered de po por categoría FG,PO's Vouchered par FG Catégorie
Popup Menu Maintenance,Mantenimiento del menú emergente,Maintenance du menu contextuel
Post AR Invoices,Contabilizar facturas de ar,Post AR Factures
Post BOL / Create Invoices,Post BOL/Crear facturas,Publier BOL/Créer des factures
Post Counts to Finished Goods,Contabilizar conteos a productos acabados,La poste compte pour les produits finis
Post Credit/Debit Memos,Contabilizar abonos/débitos,Post-crédit/notes de débit
Post Physical Counts,Contabilizar conteos físicos,Compte physique
Post Returns,Post devoluciones,Retours post
Post to Finished Goods Files,Publicar en archivos de productos terminados,Publier dans les fichiers de marchandise finie
Post to Raw Material Files,Publicar en archivos de materia prima,Publier sur les fichiers matières premières
Post TouchData to ASI Database,Post TouchData a la base de datos asi,Post TouchData à la base de données ASI
Prep and Die File,Archivo Prep y Die,Fichier Prep and Die
Prep Charge Report,Informe de carga de Prep,Rapport de frais de préparation
Prep File,Archivo Prep,Fichier de préparation
Prep List by Mat'l Type,Lista de preparación por tipo material,Liste de préparation par Mat'l Type
Preparation Material Types,Tipos de material de preparación,Types de matériaux de préparation
Print AP Checks,Imprimir cheques AP,Imprimer les chèques AP
Print AR Credit/Debit Memos,Imprimir notas de crédito/débito,Imprimer des notes de crédit/débit AR
Print AR Invoices,Imprimir facturas de ar,Imprimer les factures AR
Print Bills of Lading,Imprimir los gastos de embarque,Imprimer les connaissements
Print Finished Goods Edit List,Imprimir lista de edición de productos acabados,Imprimer les produits finis Modifier la liste
Print OE Invoices,Imprimir facturas OE,Imprimer les factures OE
Print PO Edit List,Imprimir lista de edición de Po,Imprimer PO Modifier la liste
Print POs,Imprimir pos,Imprimer les bons de commande
Print Raw Material Edit List,Imprimir lista de edición de materia prima,Imprimer la liste de modification des matières premières
Print Release Tickets,Imprimir entradas de publicación,Imprimer les billets
Print/Post Journal Entries,Imprimir/contabilizar entradas de diario,Imprimer/publier des entrées de journal
Product Line GL Accounts,Cuentas GL de la línea de productos,Gamme de produits GL Accounts
Product Catalog (832),Catálogo de productos (832),Catalogue de produits (832)
Production Analysis,Análisis de producción,Analyse de production
Production by Department,Producción por departamento,Production par département
Production by Machine,Producción por máquina,Production par machine
Production Highlights,Destacados de la producción,Faits saillants de production
Production Report,Informe de producción,Rapport de production
Profit by Invoice,Ganancia por factura,Profit par facture
Profit by ProdCat/Slsrep,Beneficio de la categoría Prod/representante SLS,Profit par ProdCat/Slsrep
Profit w/Freight,Ganancia w/flete,Profit w/Fret
Program Master,Maestro de programa,Maître du programme
Program Master List,Lista maestra de programa,Liste principale du programme
Prospects and Customers Names,Prospectos y nombres de clientes,Prospects et noms de clients
Purchase Order Control Menu,Menú control orden de compra,Menu Contrôle des commandes d'achat
Purchase Orders (850),Pedidos de compra (850),Commandes d'achat (850)
Purchasing,Compra,Achat
Purge Customers,Purgar clientes,Purger les clients
Purge Documents,Purgar documentos,Purger les documents
Purge Employee Transaction,Purgar transacción de empleado,Purger les transactions des employés
Purge FG History,Purgar historia FG,Purger l'historique FG
Purge Finished Goods,Purgar productos acabados,Purger les produits finis
Purge GL Accounts,Purgar cuentas GL,Purger les comptes GL
Purge Jobs,Purgar trabajos,Purge Jobs
Purge Options,Opciones de purga,Options de purge
Purge Orders,Purgar órdenes,Purger les commandes
Purge Paid AP Invoices,Purgar facturas AP pagadas,Purge des factures AP payées
Purge Paid AR Invoices,Purgar facturas de ar pagadas,Purge des factures AR payées
Purge POs,Purgar pos,Purger les bons de commande
Purge Quotes,Purgar cotizaciones,Purge Quotes
Purge Raw Materials,Purgar materias primas,Purger les matières premières
Purge Report File,Purgar archivo de informe,Purger le fichier de rapport
Purge Touch Data,Purgar datos táctiles,Purger les données tactiles
Purge Unship/Post/Closed Rels,Purgar desembarque/post/Closed Rels,Purge Unship/Post/Closed Rels
Purge Zero Posted AR,Purgar cero contabilizado ar,Purge Zero Publié AR
Purge Zero Time Transaction,Purgar transacción de tiempo cero,Purger la transaction de temps zéro
Qty On Hand/Shipd by SMan,Qty en la mano/shipd por SMan,Quantité en stock / Expédié par SMan
QTY Totals by Cust/Item,Cantidad total por MOV/Item,Qté Totaux par Cust
Qty/Value by Cust and Job,Cantidad/valor por MOV y Job,Quantité / Valeur par Cust et Job
Query Accounts Payable,Cuentas por pagar de consultas,Requête de comptes payables
Query Accounts Receivables,Consultar cuentas por cobrar,Interroger les comptes clients
Query Builder,Generador de consultas,Générateur de requêtes
Query Data Collection,Colección de datos de consulta,Collecte de données de requête
Query Finished Goods,Consultar productos acabados,Requête de produits finis
Query General Ledger History,Historial de consultas de contabilidad general,Historique des requêtes générales
Query Jobs,Trabajos de consulta,Requête Jobs
Query Orders,Pedidos de consulta,Commandes de requête
Query Purchase Orders,Pedidos de compra de consultas,Requêtes d'achat de requête
Query Raw Goods,Consulta de productos crudos,Requête des marchandises brutes
Quick Fixes,Correcciones rápidas,Réparations rapides
Quote Requests,Solicitudes de cotización,Demandes de devis
Quoted Price List,Lista de precios cotizada,Liste de prix citée
Quotes,Cotizaciones,Citations
Quotes List,Lista de cotizaciones,Liste de citations
Raw Materials Categories,Categorías de materias primas,Catégories de matières premières
Raw Materials Control,Control de materias primas,Contrôle des matières premières
Raw Materials Cost List,Lista de costos de materias primas,Liste des coûts des matières premières
Recap Product Category,Categoría de producto recapitulativo,Liste des coûts des matières premières
Receipts Overages for Credit,Recibos por encima de la edad para el crédito,Recettes Overages pour crédit
Reconciliation Register,Registro de reconciliación,Registre de rapprochement
Reconciliation Report,Informe de reconciliación,Rapport de rapprochement
Red Flag Report,Informe de la bandera roja,Rapport Red Flag
Reference Date vs Posting Date,Fecha de referencia vs fecha de contabilización,Date de référence vs date de publication
Release Edit List,Liberar lista de edición,Libérer la liste de modification
Reorder Advice By Ship-to,Reordene el Consejo por barco-a,Réorganiser les conseils par bateau
Reorder Requirements,Reordenar requisitos,Réorganiser les exigences
Reordering Advice,Consejos para reordenar,Réordonner les conseils
Report Maintenance,Mantenimiento de informes,Rapport Maintenance
Reports,Informes,Rapports
Reports continued...,Informes continuados...,Rapports suite...
Reports for Admins,Informes para admins,Rapports pour les admins
Reports for Contacts,Informes para contactos,Rapports pour les contacts
Reports for Data Collection,Informes para la recopilación de datos,Rapports pour la collecte de données
Reports for Estimates,Informes para estimaciones,Rapports pour le Budget des dépenses
Reports for Finished Goods,Informes de productos acabados,Rapports pour les produits finis
Reports for General Ledger,Informes para contabilidad general,Rapports pour les grands livres
Reports for Job Costing,Informes para el costo del trabajo,Rapports pour l'établissement des coûts de l'emploi
Reports for Orders,Informes para pedidos,Rapports pour les commandes
Reports for Payables,Informes para cuentas a pagar,Rapports pour les commandes
Reports for Purchasing,Informes para la compra,Reports for Purchasing
Reports for Raw Goods,Informes para las mercancías crudas,Rapports pour les marchandises brutes
Reports for Receivables,Informes para cuentas a cobrar,Rapports pour les comptes débiteurs
Reports for SS Report,Informes para el informe SS,Rapports pour le rapport SS
Reports for Touch Screen,Informes para la pantalla táctil,Rapports pour l'écran tactile
RePost TouchData to ASI Databa,RePost TouchData to ASI Databa,RePost TouchData à ASI Databa
Request For Quotes,Solicitud de cotizaciones,Demande de devis
Returns Edit List,Devuelve la lista de edición,Retour Modifier la liste
RFQ File Maintenance,Mantenimiento de archivos de presupuestos,Maintenance du fichier RFQ
RFQ List,Lista de presupuestos,Liste de RFQ
RM Allocated by Job,RM asignado por Job,RM Attribué par Job
RM Enter/Modify Adjustments,RM entrar/modificar ajustes,RM Entrer/Modifier les ajustements
RM Enter/Modify Receipts,RM entrar/modificar recibos,RM Entrer/Modifier les reçus
RM Enter/Modify Transfers,RM entrar/modificar transferencias,RM Entrer/Modifier les transferts
RM History,Historia de RM,Histoire de RM
RM Loadtag Creation,Creación de RM Loadtag,Création de chargements RM
RM Rebuild Bins/Reset Balances,Contenedores de reconstrucción de RM/saldos de restablecimiento,RM Rebuild Bins/Réinitialiser les balances
RM/FG Specifications,Especificaciones de RM/FG,RM/FG Spécifications
Roll Stock Consumed Report,Informe consumido de stock de rollo,Rapport sur le stock de roulement
Roll Stock Cost,Coste de la acción del rodillo,Coût du stock de rouleau
Roll Stock Lot/Tag Report,Porción común del rodillo/informe de la etiqueta,Rapport de lot / étiquette de rouleau de rouleau
Run Custom Utility Program,Ejecutar programa de utilidad personalizada,Exécuter un programme d'utilitaire personnalisé
Sales Analysis (852),Análisis de ventas (852),Analyse des ventes (852)
Sales by Cust/Item/PO,Ventas por MOV/Item/po,Ventes par Cust/Item/PO
Sales by Customer Zip,Ventas por cliente zip,Ventes par client Zip
Sales by Invoice/Cat/Shipto,Ventas por factura/categoría/buque a,Ventes par facture/CAT/Shipto
Sales by Item/Cust/Ship,Ventas por artículo/cliente/nave,Ventes par article/Cust/Ship
Sales by Period,Ventas por periodo,Ventes par période
Sales by Product w/Cost,Ventas por producto w/cost,Ventes par produit avec coût
Sales by Shipping Carrier,Ventas por transportista,Ventes par transporteur
Sales Comparison/Sales Rep,Comparación de ventas/representante de ventas,Comparaison des ventes/Représentant des ventes
Sales Price Matrix,Matriz de precios de venta,Matrice de prix de vente
Sales Rep / Commissions,Representante de ventas/comisiones,Représentant des ventes/Commissions
Sales Rep Highlights,Destacados del representante de ventas,Points saillants des ventes
Sales Rep Performance,Rendimiento del REP de ventas,Représentant des ventes
Sales Tax Codes,Códigos de impuesto de ventas,Codes de taxe de vente
Sales Territories,Territorios de ventas,Territoires de vente
Sales Value by Slsmn by Cust,Valor de ventas por Slsmn por el cliente,Valeur des ventes par Slsmn by Cust
Sales Values by Cust/Item,Valores de ventas por cliente/artículo,Valeurs de ventes par client/article
Sales vs. Budget,Ventas contra el presupuesto,Ventes et budget
Sales with Multiple Sorts,Ventas con varias clases,Ventes avec plusieurs types
Sales/Value by Cust and Tag,Ventas/valor por cliente y tag,Ventes/Valeur par Cust et Tag
Schedule Ticket Print,Imprimir boleto de programación,Planifier l'impression du billet
Scheduled Receipts,Recibos programados,Reçus planifiés
Scheduled Receipts with Orders,Recibos programados con pedidos,Reçus planifiés avec commandes
Scheduled Releases,Lanzamientos programados,Sorties planifiées
Scheduled Releases by Ship-To,Lanzamientos programados por buque-a,Rejets planifiés par navire
Scheduled Releases w/Job,Lanzamientos programados por buque-a,Sorties programmées w/Job
Scheduled Ship vs. QOH,Barco programado contra QOH,Navire prévu vs QOH
Scheduled Ship vs. Qty On-Hand,Barco programado contra Qty en la mano,Navire prévu et quantité en main
Scheduling,Programación,Planification
Score Types,Tipos de puntuación,Types de score
Scrap Report,Scrap Report,Rapport Scrap
Scrap Report by Machine,Reporte de chatarra por máquina,Scrap Report par Machine
Search for Estimates,Buscar estimaciones,Rechercher des estimations
Select Tables to Audit,Seleccionar tablas para auditar,Sélectionnez les tables à auditer
Select by Due Date,Seleccionar por fecha de vencimiento,Sélectionner par date d'échéance
Select by Vendor,Seleccionar por proveedor,Sélectionner par le fournisseur
Selection Register,Registro de selección,Registre de sélection
Set Company/Location,Establecer empresa/ubicación,Définir Société/Lieu
Set FG Blank Warehouse/Bin,Fije el almacén/el compartimiento en blanco de FG,Définir FG Blank Warehouse/Bin
Set FG Item Warehouse/Bin,Fije el almacén/el compartimiento del artículo de FG,Définir l'article FG Warehouse/Bin
Set FG On-Hand Qty to Zero,Fije el qty de la mano de FG a cero,Définir la quantité de main-d'œuvre FG sur zéro
Set FG On-Order Qty to Zero,Fije el Qty del en-orden de FG a cero,Définir FG sur commande Qté à zéro
Set ID Codes,Establecer códigos de identificación,Définir les codes d'identification
Set Maintenance,Establecer mantenimiento,Définir la maintenance
Set RM On-Hand to Zero,Establecer RM a mano a cero,Réglez RM sur Main à Zéro
Set Salesman Commission,Comisión del vendedor del sistema,Définir la Commission des vendeurs
Set Taxable FG Default,Set imponible FG default,Définir FG imposable par défaut
Sheets on Order,Hojas en orden,Feuilles sur commande
Shifts,Cambios,Changements
Shifts List,Lista de cambios,Liste des changements
Ship To Inquiry,Enviar a la investigación,Expédier à l'enquête
Ship Notices (856),Avisos de la nave (856),Avis de navire (856)
Ship via to SCAC Code XRef,Enviar a través de SCAC código XREF,Expédier via à SCAC code Xréf
Shipment Approval Report,Informe de aprobación de envío,Rapport d'approbation de l'envoi
Shipment By Customer Part,Shipment By Customer Part,Envoi par pièce client
Shipments by Item/Cust,Envíos por artículo/cliente,Envois par article/Cust
Shipping / Bill of Lading,Envío/factura de embarque,Expédition/connaissement
Shutdown SpoolRequest Monitor,Monitor de solicitud de carrete Shutdown,Arrêter le moniteur de demande de spouleur
Single RFQ List,Lista de presupuestos individuales,Liste de DD unique
Stacking Matrix,Matriz de apilamiento,Matrice d'empilement
Stacking Patterns,Patrones de apilamiento,Empilage de motifs
Standards Matrix,Matriz de estándares,Matrice des normes
State and Province Abbrev List,Lista abrev estado y provincia,Liste des abréviations des états et des provinces
State and Province Abbreviations,Abreviaturas del estado y de la provincia,Abréviations des états et des provinces
Statements,Declaraciones,Déclarations
Status,Estado,Statut
Status Checkoff,Estado Marcar,Statut précompte
Style File,Archivo de estilo,Fichier de style
Summary Invoice Cost,Costo de factura sumario,Coût facturé récapitulatif
System,Sistema,Système
System Listings,Listados de sistemas,Listes du système
System Control Parameters,Parámetros de control del sistema,Paramètres de contrôle du système
System Reference Files,Archivos de referencia del sistema,Fichiers de référence du système
Tax Distribution Schedule,Calendario de distribución de impuestos,Calendrier de distribution des taxes
Tax Schedule By Customer,Horario de impuestos por cliente,Calendrier des taxes par client
Taxing Authority Codes,Códigos de autoridad tributaria,Codes d'autorité fiscale
Tickets for Releases,Entradas para lanzamientos,Billets pour les sorties
Title Codes,Códigos de título,Codes de titre
Title Codes List,Lista de códigos de título,Liste des codes de titre
Tools for Sales,Herramientas para ventas,Outils pour la vente
Total Weight and  Sales by 1st,Peso total y ventas por 1er,Poids total et ventes au 1er
Totals by Salesrep  DD/MM/YY,Totales por Salesrep DD/MM/AA,Totaux par Salesrep DD/MM/YY
Touch Screen,Pantalla táctil,Écran tactile
Track Bank Reconciliation,Rastrear la conciliación bancaria,Suivre le rapprochement bancaire
Track Usage List,Seguir la lista de uso,Suivre la liste d'utilisation
Trading Partners,Socios comerciales,Partenaires commerciaux
Transaction by TON/MSF,Transacción por TON/MSF,Transaction par TON/MSF
Transaction History,Historial de transacciones,Historique des transactions
Transaction Report,Reporte de transacción,Rapport de transaction
Transactions by Order,Transacciones por orden,Transactions par commande
Transfer Misc. Costs to Job,Transferir Misc. Costos para el trabajo,Transfert Divers Coûts à l'emploi
Transfer Transaction BOL,Transacción de transferencia BOL,Transfert Transaction BOL
Transfer WIP to Job Cost,Transferir WIP al costo del trabajo,Transfert WIP au coût de l'emploi
Trial Balance,Balance de prueba,Balance de vérification
Truck / Common Carriers,Camión/vehículos comunes,Camions/transporteurs publics
Truck Plan Selection,Selección de plan de camión,Sélection du plan de camion
Truckload BOL Summary,Truckload BOL Resumen,Récapitulatif du bon de livraison
Units of Measure,Unidades de medida,Unités de mesure
Unreported Labor Report,Informe laboral no reportado,Rapport sur le travail non déclaré
Unshipped FG Detail,Detalle de FG no enviado,Détail FG non expédié
Unshipped FG Summary,Resumen FG no enviado,Résumé FG non expédié
Update / Add Orders,Actualizar/Agregar pedidos,Mettre à jour/ajouter des commandes
Update / Enter A/R Invoices,Actualizar/Ingresar Facturas de Facturación,Mettre à jour/Entrer les factures A/R
Update / Enter Job,Actualizar/Ingresar trabajo,Mettre à jour/Entrer le travail
Update / Enter Jobs,Actualizar/introducir trabajos,Mettre à jour/entrer des travaux
Update / Enter Purchase Orders,Actualizar/Ingresar órdenes de compra,Mettre à jour/entrer des commandes d'achat
Update / Enter Vendor Invoices,Actualizar/Ingresar facturas de proveedor,Mettre à jour/entrer les factures des fournisseurs
Update / Journal Entries,Actualizar/entradas de diario,Update/Journal Entries
Update AP Invoice,Actualizar factura de AP,Mettre à jour la facture AP
Update AR/OE Inv Cost and Comm,Actualizar el costo y la comunicación de INV/OE Inv,Mettre à jour le coût de l'AR/OE Inv et Comm
Update Customer Number,Actualizar número de cliente,Mettre à jour le numéro client
Update Est SlsmnComm/PallCase,Actualizar Est SlsmnComm/PallCase,Mettre à jour Est SlsmnComm/PallCase
Update Estimate Labor Rates,Actualizar estimaciones de tasas de mano de obra,Mise à jour des estimations de la main-d'œuvre
Update FG Item Code,Actualizar código de artículo de FG,Mettre à jour le code article FG
Update Materials Transactions,Actualizar transacciones de materiales,Mettre à jour les transactions de matériaux
Update RM Item Code,Actualizar código de artículo de RM,Mettre à jour le code article RM
Update Vendor Number,Actualizar el número de proveedor,Mettre à jour le numéro du fournisseur
Update Warehouse Transactions,Actualizar transacciones de almacén,Mettre à jour les transactions d'entrepôt
Update/Add Hours via Job Card,Actualizar/Agregar Horas a través de la Tarjeta de Trabajo,Mettre à jour/ajouter des heures via la carte de travail
Upload to Server,Subir al servidor,Télécharger sur le serveur
User,Usuario,Utilisateur
User Groups List,Lista de grupos de usuarios,Liste des groupes d'utilisateurs
User Control,Control de usuario,Contrôle de l'utilisateur
User Defined Fields Builder,Constructor de campos definidos por el usuario,Générateur de champs définis par l'utilisateur
User's Menu Structure,Estructura del menú del usuario,Structure du menu de l'utilisateur
Users,Usuarios,Utilisateurs
Users List,Lista de usuarios,Liste des utilisateurs
Value/Cost by Whs/Bin/Tag,Valor/Costo por Whs/Bin/Tag,Valeur/Coût par Whs/Bin/Tag
Value/Profit by Item,Valor/beneficio por artículo,Valeur/Profit par article
Vendor 1099 Report,Informe del vendedor 1099,Rapport du fournisseur 1099
Vendor Aging,Vendor del vendedor,Vieillissement du vendeur
Vendor Cross Reference,Referencia cruzada del vendedor,Référence croisée du fournisseur
Vendor Master List,Lista maestra de proveedores,Liste maîtresse des fournisseurs
Vendor Price List,Lista de precios del proveedor,Liste des prix du fournisseur
Vendor Types,Tipos de proveedores,Types de fournisseurs
Vendors,Vendedores,Vendeurs
Visual Data Collection,Colección de datos visuales,Collecte de données visuelles
Void AP Checks,Comprobaciones de AP anuladas,Vérifications AP vides
Void Cash Receipts,Recibos de efectivo vacíos,Reçus d'espèces
Voided Cash Receipt Register,Registro de recibo de efectivo anulado,Registre des entrées de trésorerie annulées
Voided Check Register,Registro de cheques sin fondos,Registre de vérification annulé
Vouchers / Payables,Vales/Cuentas por pagar,Bons/Fournisseurs
W.I.P. Daily Summary,W.I.P. Resumen diario,W.I.P. Résumé quotidien
W.I.P. Job Audit Trail,W.I.P. Rastro de auditoría de trabajo,W.I.P. Sentier de vérification des emplois
Warehouse History,Historia del almacén,Historique de l'entrepôt
Warehouse Item Audit List,Lista de auditoría de artículos de almacén,Liste d'audit des éléments d'entrepôt
Warehouse Management,Gestión de almacenes,Gestion des entrepôts
Waste Analysis by Job,Análisis de desechos por trabajo,Analyse des déchets par emploi
Web Orders Transfer/Approve,Web Orders Transfer/Approve,Commandes Web Transférer/Approuver
Whse / Bin Locations,Ubicaciones Whse/Bin,Whse/Bin Lieux
WIP by Product Category,WIP por categoría de producto,WIP par catégorie de produit
WIP Hours Preposted Edit List,Lista de horas de publicación preprogramadas de WIP,WIP Hours Preposted Edit List
WIP Job Audit Trail,WIP Job Audit Trail,Sentier d'audit des emplois du WIP
WIP Standards Detail,Detalle de estándares de WIP,Détail des normes WIP
WIP Tag Creation,Creación de etiquetas WIP,Création de balises WIP
WIP Tag Maintenance,Mantenimiento de etiquetas WIP,Maintenance des balises WIP
WIP TAG Report,Informe TAG WIP,Rapport WAG TAG
WIP Value of Sheeted Inventory,Valor de WIP del inventario cubierto,Valeur WIP de l'inventaire en feuilles
With $/MSF Totals by Salesrep,Con totales de $/MSF por Salesrep,With $/MSF Totals by Salesrep
Write AP Credit/Debit Memos,Escribir notas de crédito/débito de AP,Write AP Credit/Debit Memos
Write AR Credit/Debit Memos,Escribir notas de crédito/débito de AR,Write AR Credit/Debit Memos
Write End of Period Totals,Escribir los totales del final del período,Write End of Period Totals
Write Financial Statements,Escribir estados financieros,Rédiger des états financiers
Y More File Cleanup,Y Más limpieza de archivos,Y Plus de nettoyage de fichiers
Year End,Fin de año,Fin de l'année
Yearly Sales Volume,Volumen de ventas anual,Volume des ventes annuel
YTD Cost/Sales by Cust,Costo YTD/Ventas por Cust,Coût/ventes par Cust depuis le début de l'année
Z System Reference Files,Archivos de referencia del sistema Z,Fichiers de référence du système Z
Z. More Lists for Orders,Z. Más listas para pedidos,Fichiers de référence du système Z
Z. Sales by Customer Invoice,Z. Ventas por factura del cliente,Z. Ventes par facture client
Zip Codes,Códigos ZIP,Codes ZIP
Zip Codes List,Lista de códigos postales,Liste des codes postaux
Zip Codes Loader,Cargador de postales de postales,Zip Codes Loader
